ds;covid_cases
2020-01-10;0
2020-01-11;0
2020-01-12;0
2020-01-13;0
2020-01-14;0
2020-01-15;0
2020-01-16;0
2020-01-17;0
2020-01-18;0
2020-01-19;0
2020-01-20;0
2020-01-21;0
2020-01-22;0
2020-01-23;0
2020-01-24;0
2020-01-25;0
2020-01-26;0
2020-01-27;0
2020-01-28;0
2020-01-29;0
2020-01-30;0
2020-01-31;0
2020-02-01;0
2020-02-02;0
2020-02-03;0
2020-02-04;0
2020-02-05;0
2020-02-06;0
2020-02-07;0
2020-02-08;0
2020-02-09;0
2020-02-10;0
2020-02-11;0
2020-02-12;0
2020-02-13;0
2020-02-14;0
2020-02-15;0
2020-02-16;0
2020-02-17;0
2020-02-18;0
2020-02-19;0
2020-02-20;0
2020-02-21;0
2020-02-22;0
2020-02-23;0
2020-02-24;0
2020-02-25;0
2020-02-26;0
2020-02-27;0
2020-02-28;0
2020-02-29;0
2020-03-01;0
2020-03-02;0
2020-03-03;0
2020-03-04;0
2020-03-05;0.090909091
2020-03-06;0.272727273
2020-03-07;0.454545455
2020-03-08;0.454545455
2020-03-09;0.454545455
2020-03-10;2.545454545
2020-03-11;3.181818182
2020-03-12;4.272727273
2020-03-13;7.636363636
2020-03-14;11
2020-03-15;12.36363636
2020-03-16;26.09090909
2020-03-17;27.81818182
2020-03-18;44.18181818
2020-03-19;53.90909091
2020-03-20;69.27272727
2020-03-21;88.54545455
2020-03-22;117.3636364
2020-03-23;152.0909091
2020-03-24;190.7272727
2020-03-25;234.0909091
2020-03-26;299.8181818
2020-03-27;345.5454545
2020-03-28;413.5454545
2020-03-29;472.6363636
2020-03-30;539.0909091
2020-03-31;597.5454545
2020-04-01;653.3636364
2020-04-02;702.4545455
2020-04-03;753
2020-04-04;795.7272727
2020-04-05;822.5454545
2020-04-06;816.7272727
2020-04-07;815.0909091
2020-04-08;812.7272727
2020-04-09;805.9090909
2020-04-10;791.8181818
2020-04-11;773
2020-04-12;742.1818182
2020-04-13;719.9090909
2020-04-14;680.5454545
2020-04-15;667.3636364
2020-04-16;649.9090909
2020-04-17;641.8181818
2020-04-18;635.2727273
2020-04-19;605
2020-04-20;572.4545455
2020-04-21;549.4545455
2020-04-22;534
2020-04-23;527.6363636
2020-04-24;504.7272727
2020-04-25;492.0909091
2020-04-26;446.7272727
2020-04-27;390.6363636
2020-04-28;394.9090909
2020-04-29;384.7272727
2020-04-30;371.8181818
2020-05-01;361.0909091
2020-05-02;347.0909091
2020-05-03;322.4545455
2020-05-04;297.3636364
2020-05-05;280.8181818
2020-05-06;268.6363636
2020-05-07;261.8181818
2020-05-08;278.2727273
2020-05-09;241.4545455
2020-05-10;213.2727273
2020-05-11;200.0909091
2020-05-12;190.5454545
2020-05-13;182.1818182
2020-05-14;187
2020-05-15;184.6363636
2020-05-16;177.2727273
2020-05-17;163
2020-05-18;149
2020-05-19;138.8181818
2020-05-20;128.1818182
2020-05-21;119.9090909
2020-05-22;171.2727273
2020-05-23;159.8181818
2020-05-24;149.8181818
2020-05-25;-44.27272727
2020-05-26;-31.09090909
2020-05-27;-40.45454545
2020-05-28;-48.27272727
2020-05-29;-53.45454545
2020-05-30;-59.36363636
2020-05-31;-69.18181818
2020-06-01;-73.90909091
2020-06-02;-136.4545455
2020-06-03;-140.9090909
2020-06-04;-147.1818182
2020-06-05;27.27272727
2020-06-06;1.636363636
2020-06-07;1.636363636
2020-06-08;1.545454545
2020-06-09;1.363636364
2020-06-10;1
2020-06-11;0.818181818
2020-06-12;0.818181818
2020-06-13;0.818181818
2020-06-14;0.727272727
2020-06-15;0.272727273
2020-06-16;0.181818182
2020-06-17;0.090909091
2020-06-18;0
2020-06-19;107.1818182
2020-06-20;107.8181818
2020-06-21;107.9090909
2020-06-22;108
2020-06-23;108.0909091
2020-06-24;108.2727273
2020-06-25;108.5454545
2020-06-26;109.2727273
2020-06-27;109.5454545
2020-06-28;109.7272727
2020-06-29;110
2020-06-30;3.636363636
2020-07-01;3.727272727
2020-07-02;4.090909091
2020-07-03;5.545454545
2020-07-04;5.454545455
2020-07-05;5.272727273
2020-07-06;5.272727273
2020-07-07;4.909090909
2020-07-08;5
2020-07-09;5.272727273
2020-07-10;5.181818182
2020-07-11;4.363636364
2020-07-12;3.636363636
2020-07-13;3.454545455
2020-07-14;2.181818182
2020-07-15;2.545454545
2020-07-16;2.818181818
2020-07-17;2.909090909
2020-07-18;2.545454545
2020-07-19;2.181818182
2020-07-20;1.909090909
2020-07-21;1.909090909
2020-07-22;2.090909091
2020-07-23;2.363636364
2020-07-24;2.363636364
2020-07-25;2.090909091
2020-07-26;1.727272727
2020-07-27;1.636363636
2020-07-28;1.454545455
2020-07-29;1.909090909
2020-07-30;2.090909091
2020-07-31;2.090909091
2020-08-01;1.909090909
2020-08-02;1.727272727
2020-08-03;3.909090909
2020-08-04;6
2020-08-05;6.090909091
2020-08-06;6.181818182
2020-08-07;6.272727273
2020-08-08;6.090909091
2020-08-09;5.636363636
2020-08-10;12.09090909
2020-08-11;12.36363636
2020-08-12;12.18181818
2020-08-13;14.54545455
2020-08-14;13.18181818
2020-08-15;10.81818182
2020-08-16;10.72727273
2020-08-17;13.27272727
2020-08-18;15.18181818
2020-08-19;26.72727273
2020-08-20;28.18181818
2020-08-21;23.81818182
2020-08-22;23.36363636
2020-08-23;23.54545455
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
