ds;iOS
2017-01-01;2393
2017-01-02;2527
2017-01-03;2516
2017-01-04;2417
2017-01-05;2233
2017-01-06;2350
2017-01-07;2354
2017-01-08;2688
2017-01-09;2490
2017-01-10;2432
2017-01-11;2478
2017-01-12;2372
2017-01-13;2369
2017-01-14;2454
2017-01-15;3026
2017-01-16;2692
2017-01-17;2615
2017-01-18;2475
2017-01-19;2546
2017-01-20;2228
2017-01-21;2463
2017-01-22;3036
2017-01-23;2764
2017-01-24;2672
2017-01-25;2556
2017-01-26;2520
2017-01-27;2413
2017-01-28;2595
2017-01-29;3036
2017-01-30;2699
2017-01-31;2762
2017-02-01;2499
2017-02-02;2711
2017-02-03;2546
2017-02-04;2731
2017-02-05;3057
2017-02-06;2734
2017-02-07;2740
2017-02-08;2526
2017-02-09;2724
2017-02-10;2600
2017-02-11;2845
2017-02-12;3322
2017-02-13;2938
2017-02-14;2664
2017-02-15;2811
2017-02-16;2785
2017-02-17;2779
2017-02-18;3024
2017-02-19;3609
2017-02-20;3246
2017-02-21;3183
2017-02-22;3105
2017-02-23;3110
2017-02-24;2806
2017-02-25;2913
2017-02-26;3398
2017-02-27;3286
2017-02-28;3320
2017-03-01;3151
2017-03-02;3173
2017-03-03;3137
2017-03-04;3175
2017-03-05;3718
2017-03-06;3358
2017-03-07;3489
2017-03-08;3311
2017-03-09;3316
2017-03-10;3306
2017-03-11;3512
2017-03-12;3966
2017-03-13;3668
2017-03-14;3657
2017-03-15;3648
2017-03-16;3402
2017-03-17;3283
2017-03-18;3357
2017-03-19;3927
2017-03-20;3781
2017-03-21;3825
2017-03-22;3534
2017-03-23;3546
2017-03-24;3188
2017-03-25;3476
2017-03-26;3669
2017-03-27;3621
2017-03-28;3673
2017-03-29;3632
2017-03-30;3483
2017-03-31;3402
2017-04-01;3643
2017-04-02;4040
2017-04-03;3697
2017-04-04;3594
2017-04-05;3640
2017-04-06;3417
2017-04-07;3326
2017-04-08;3390
2017-04-09;3895
2017-04-10;3793
2017-04-11;3527
2017-04-12;3290
2017-04-13;3302
2017-04-14;3347
2017-04-15;3270
2017-04-16;3648
2017-04-17;3952
2017-04-18;3742
2017-04-19;3679
2017-04-20;3557
2017-04-21;3380
2017-04-22;3518
2017-04-23;3613
2017-04-24;3887
2017-04-25;3730
2017-04-26;3663
2017-04-27;3464
2017-04-28;3236
2017-04-29;3309
2017-04-30;3620
2017-05-01;3749
2017-05-02;3534
2017-05-03;3610
2017-05-04;3548
2017-05-05;3358
2017-05-06;3332
2017-05-07;3968
2017-05-08;3890
2017-05-09;3820
2017-05-10;3671
2017-05-11;3666
2017-05-12;3322
2017-05-13;3323
2017-05-14;3696
2017-05-15;3960
2017-05-16;3810
2017-05-17;3723
2017-05-18;3653
2017-05-19;3276
2017-05-20;3424
2017-05-21;3966
2017-05-22;3763
2017-05-23;3852
2017-05-24;3839
2017-05-25;3725
2017-05-26;3538
2017-05-27;3488
2017-05-28;4154
2017-05-29;3966
2017-05-30;3925
2017-05-31;3825
2017-06-01;3707
2017-06-02;3536
2017-06-03;3354
2017-06-04;3931
2017-06-05;3654
2017-06-06;3755
2017-06-07;3827
2017-06-08;3748
2017-06-09;3256
2017-06-10;3420
2017-06-11;3804
2017-06-12;3687
2017-06-13;3753
2017-06-14;3426
2017-06-15;3534
2017-06-16;3254
2017-06-17;3197
2017-06-18;3840
2017-06-19;3642
2017-06-20;3638
2017-06-21;3579
2017-06-22;3416
2017-06-23;2960
2017-06-24;3151
2017-06-25;3713
2017-06-26;3513
2017-06-27;3611
2017-06-28;3545
2017-06-29;3386
2017-06-30;3057
2017-07-01;3183
2017-07-02;3767
2017-07-03;3625
2017-07-04;3567
2017-07-05;3516
2017-07-06;3458
2017-07-07;3068
2017-07-08;3180
2017-07-09;3579
2017-07-10;3520
2017-07-11;3601
2017-07-12;3448
2017-07-13;3419
2017-07-14;3184
2017-07-15;3132
2017-07-16;3473
2017-07-17;3617
2017-07-18;3467
2017-07-19;3425
2017-07-20;3376
2017-07-21;2910
2017-07-22;3244
2017-07-23;3589
2017-07-24;3576
2017-07-25;3572
2017-07-26;3607
2017-07-27;3487
2017-07-28;3253
2017-07-29;3201
2017-07-30;3487
2017-07-31;3423
2017-08-01;3535
2017-08-02;3349
2017-08-03;3102
2017-08-04;3159
2017-08-05;3024
2017-08-06;3313
2017-08-07;3433
2017-08-08;3536
2017-08-09;3349
2017-08-10;3044
2017-08-11;3013
2017-08-12;2954
2017-08-13;3212
2017-08-14;3194
2017-08-15;3497
2017-08-16;3305
2017-08-17;3074
2017-08-18;2917
2017-08-19;2983
2017-08-20;3430
2017-08-21;3412
2017-08-22;3406
2017-08-23;3542
2017-08-24;3436
2017-08-25;3287
2017-08-26;3260
2017-08-27;3560
2017-08-28;3411
2017-08-29;3567
2017-08-30;3459
2017-08-31;3310
2017-09-01;3053
2017-09-02;3281
2017-09-03;3803
2017-09-04;3849
2017-09-05;3736
2017-09-06;3635
2017-09-07;3629
2017-09-08;3315
2017-09-09;3233
2017-09-10;3759
2017-09-11;3707
2017-09-12;3590
2017-09-13;3690
2017-09-14;3552
2017-09-15;3469
