"O_ID";"O_CODIGO";"FECHA_PUBLICACION_IJ";"O_NOMBRE";"O_DESCRIPCION";"O_VACANTES";"EU_ID";"EM_CIF"
35452107506;d0f94029554372a740bac0fca12c8d;2019-03-29 00:00:00;Dependiente/a;"Se necesita dependienta con idiomas, mínimo inglés y francés. Proactiva, con iniciativa y ánimo de equipo. 
Para horarios con fines de semana.";1;26607175158;b66362930
34991337262;"6e7d1d2a964a9d89098cc2b063eb86";2019-01-24 00:00:00;Dependiente/a;Se precisa dependiente/a para nuestras tiendas de muebles en Barcelona, Sabadell, Sant Cugat y Granollers.;6;543232512;a08790628
34989710346;"41d981d19f4ac8b5b036edf1cdd942";2019-01-24 00:00:00;Dependiente/a;"Dependiente/a para tienda de colchones TEMPUR en Majadahonda y Madrid capital. Jornada completa (40 horas). Incorporación inmediata.

IMPRESCINDIBLE EXPERIENCIA EN MUEBLES O COLCHONERIA";1;2397657058;a82628090
34994799716;"0a35f28c0a4bfcb1011113cba51539";2019-01-24 00:00:00;Dependiente/a;"Se precisa dependiente con aptitudes comerciales, acostumbrado a despachar rápidamente a un gran volumen de clientes en horas punta.

Funciones: despachar en ventanilla, gestionar base de datos de clientes, coordinar y supervisar el funcionamiento general de la sección de ventanilla y rutas.

Atención al cliente, ventas, pagos, ingresos, cuadres de caja, facturación, liquidaciones, balances, consignaciones, devoluciones, gestión de reservas, abonados y bases de datos.";1;1593199690;"52175278p"
34990295130;de35a0348e45bf9808af300645723d;2019-01-24 00:00:00;Dependiente/a;"Cadena líder de telefonía móvil en la Comunidad Valenciana, forma y contrata dependientes de tienda para sus puntos de venta en la provincia de Valencia. 

Ofrecemos:
- Contrato trabajo.
- Jornada completa: salario fijo + interesantes incentivos.
- Integración en un equipo joven y dinámico.

Los puestos de trabajo son para diferentes municipios de alrededor de la ciudad de Valencia, como también para la ciudad.";3;2552202986;b96947908
34990336072;"89ae0a1d30451e8ba5474b59128671";2019-01-24 00:00:00;Dependiente/a;"Darcos empresa con destacado liderazgo en distribución de artículos de cosmética profesional selecciona dependiente/a para sus tiendas de Zaragoza DIRIGIDAS AL PUBLICO.

Buscamos un buen comunicador , con destacada empatía y capaz de ofrecer brillantes resultados aconsejando  a nuestros clientes las innumerables ventajas diferenciales de comprar en nuestras tiendas.

 Imprescindible sentir pasión y entusiasmo en el trato y relación con los clientes y capaz de integrarse en un equipo humano muy cohesionado bajo una dirección por objetivos.

Negociaremos un plan de retribución a base de un atractivo fijo y un ambicioso plan de retribución variable acorde a los resultados obtenidos.";4;2207032608;b50780295
34991863160;fa0f0b44674b538348f9eb1ae9a12b;2019-01-24 00:00:00;Dependiente/a;"Venta de productos y servicios Vodafone en el segmento de particulares (y en algunos casos autónomos o pymes) para la consecución de los objetivos establecidos. En cuanto a ventas deberá cualificar y discriminar a los clientes, deberá vender y no despachar y realizará una gestión de clientes para lograr que de los que regresan traigan a la mayor cantidad de referidos posibles. 
Puesta en funcionamiento de las acciones comerciales concretas que lanza el operador todos los meses. También se encargará del servicio postventa de clientes.";1;22882349510;b66196916
35096470838;"352fb4160a4b3a818079c81c188ffa";2019-02-10 00:00:00;Dependiente/a;"CASH CONVERTERS, empresa en plena expansión, dinámica y joven. Líder en el sector del comercio de segunda mano, con más de 500 tiendas en todo el mundo y con más de 50 en España, necesita incorporar VENDEDORES/COMPRADORES (DEPENDIENTE) para su tienda en ELCHE en Av. de Novelda 7Bj. 
El horario de trabajo será: 5 días de lunes a sábado sólo en horario de mañana y tarde, de 10:00 A 14:00 y de 17:00 a 21:00 horas.

BUSCAMOS COMPRADORES/VENDEDORES (DEPENDIENTES), especializados en ELECTRÓNICA (IMAGEN Y SONIDO, INFORMÁTICA, TELEFONÍA MÓVIL, VIDEO JUEGOS Y CONSOLAS, FOTOGRAFÍA...) 
En Cashconverters apostamos por la polivalencia en el puesto de trabajo que permita al empleado aprender de forma continua cualquier función a desempeñar en la tienda (compras, ventas o almacén) y al negocio disponer de la flexibilidad y capacidad de adaptación necesaria para un negocio en continuo cambio y evolución. Es un negocio dinámico que se adapta a las necesidades de sus clientes y a un entorno en continuo cambio y esto configura el perfil de las personas que trabajamos en el y condiciona nuestra búsqueda de nuevos miembros del equipo pues la flexibilidad, la rapidez de aprendizaje, la adaptación al cambio y el trabajo en equipo son vitales.

IMPRESCINDIBLE CONOCIMIENTOS EN:

ELECTRONICA,TELEFONIA,FOTOGRAFIA,INSTRUMENTOS MUSICALES,BRICOLAGE,INFORMATICA,DEPORTES,IMAGEN Y SONIDO,JOYERIA,RELOJERIA,ELECTRODOMESTICOS.

En ventas, su misión será la de desarrollar los procesos de venta directa en tienda, participando de forma activa en el mismo. Intentando en todo momento satisfacer las necesidades de nuestros clientes, ofreciéndoles una atención personalizada y un servicio de calidad.

En compras se ocupará de desarrollar los procesos de compra minorista de artículos de segunda mano con la intención de proveer de productos para la venta a nuestras tiendas.

Para ello, tendrá contacto directo con clientes, afrontando procesos de negociación en vivo, verificando el funcionamiento y la calidad de los productos a comprar, con el objetivo de alcanzar acuerdos positivos.

De la misma forma, y en función de las necesidades, ofrecerá apoyo funcional al resto de las áreas de la tienda: almacén, ...

Si te gusta el mundo de la tecnología, el contacto con el cliente, la negociación, estar al dia de novedades y precios, el trabajo en equipo y eres de los que necesitan un contexto de continuo aprendizaje y dinamismo, envianos tu Curriculum y participa de nuestro proyecto.

IMPRESCINDIBLE AL MENOS 1 AÑO DE EXPERIENCIA EN PUESTOS SIMILARES DE DEPENDIENTE.

IMPRESCINDIBLE TENER CONOCIMIENTOS EN ALGUNO DE LOS CAMPOS RESEÑADOS ANTERIORMENTE.

IMPRESCINDIBLE RESIDIR EN LA CIUDAD DE ELCHE, SOLO PERSONAS RESIDENTES EN ELCHE";4;686326896;b73349490
34993950258;"75d6a845fe40f7b16c3c2fec6c8639";2019-01-24 00:00:00;Dependiente/a;"Se necesita dependiente o dependienta con nivel de ingles alto para la atención y el dialogo fluido con turistas extranjeros, ademas de activos, dinámicos, con necesidad de trabajar y superación. El puesto requiere trabajo en equipo, buena actitud y presencia, amabilidad y don de gente.

Las funciones a realizar son las siguientes :
Atención al publico, contar colocar y reponer mercancía, limpieza de tienda supermercado y almacén.";3;32379390214;"53783820e"
34992617808;c464abd4544972ba4e9effb8661b75;2019-01-24 00:00:00;Dependiente/a;"Lo que hacemos:

-	Asesoramiento del sujetador correcto, tanto en talla como en modelo.
-	Asesoramiento de braguitas, prendas moldeadoras, bikinis y accesorios, entre otros.
-	Recibir a las clientas y guiarlas en la exposición, además de gestionar la agenda de consultas.
-	Recibir y colocar el stock, y realizar tareas de almacén.
-	Visual merchandising, mantener y cuidar la imagen de la tienda
-	Contribuir a la actualización de contenidos en las redes sociales de la tienda: Twitter, Instagram, Facebook, Pinterest.
-	Otras tareas de tienda.

A quién buscamos:

-	Alguien dispuesto a aprender, con espíritu de equipo y personalidad dinámica y proactiva.
-	El mínimo 1 año de experiencia en el área comercial.
-	Gusto por el trato con el público, por el contacto con personas y abierta a novedades.
-	Formación superior o finalizados sus estudios básicos (Bachillerato).
-	Buenos conocimientos de inglés.
-	Disponibilidad para trabajar de lunes a sábado, con dos libranzas en domingos y un día de semana. 
-	Disponibilidad para trabajar los domingos y festivos autorizados.
-	Disponibilidad para hacer formación en Madrid y Valencia.
-	Disponibilidad inmediata.
-	Por encima de todo, ¡entusiasta y apasionada de la lencería bonita!

Lo que ofrecemos: 

-	Formación inicial y continua.
-	Estabilidad laboral, con contrato de trabajo y perspectivas de carrera.
-	Salario e incentivos por productividad, revisados regularmente.
-	Buen ambiente de trabajo y espíritu de equipo.
-	Integración en una empresa en expansión, reconocida y única en España y Portugal.
-	Facilidad de acceso a transportes públicos.";1;20489295714;b86911617
