EM_ID,Recency,Frequency,Monetary,F,R,M,RFM Score,Segment
48386492,966,1,275,1,1,3,113,hibernating
48389762,1028,1,650,1,1,4,114,hibernating
48390002,252,14,5774,4,3,5,345,loyal customers
48390050,169,13,4451,4,4,5,445,loyal customers
48390319,487,1,539,1,2,4,214,hibernating
48390463,40,3,656,2,5,4,524,potential loyalists
48390583,609,2,974,2,2,5,225,hibernating
48390775,483,1,349,1,2,4,214,hibernating
48390871,770,2,633,2,1,4,124,hibernating
48390919,344,5,1453,3,3,5,335,need attention
48391087,3,7,2163,3,5,5,535,potential loyalists
48391183,202,1,279,1,3,3,313,about to sleep
48391279,145,2,758,2,4,4,424,potential loyalists
48391399,334,2,1168,2,3,5,325,about to sleep
48391543,200,9,3649,4,3,5,345,loyal customers
48391855,490,1,279,1,2,3,213,hibernating
48392239,179,5,2165,3,4,5,435,potential loyalists
48392863,403,8,2448,4,2,5,245,at risk
48392959,608,3,737,2,2,4,224,hibernating
48392983,341,12,3849,4,3,5,345,loyal customers
48393199,484,1,659,1,2,4,214,hibernating
48393295,267,2,328,2,3,4,324,about to sleep
48393991,1077,1,650,1,1,4,114,hibernating
48394279,1083,1,195,1,1,3,113,hibernating
48394303,21,2,538,2,5,4,524,potential loyalists
48394567,774,1,659,1,1,4,114,hibernating
48394783,214,22,7732,5,3,5,355,loyal customers
48394951,68,10,3036,4,5,5,545,champions
48395575,952,3,1095,2,1,5,125,hibernating
48395647,908,1,279,1,1,3,113,hibernating
48396295,600,1,279,1,2,3,213,hibernating
48396343,180,7,1569,3,4,5,435,potential loyalists
48396535,896,1,279,1,1,3,113,hibernating
48397183,351,3,1047,2,3,5,325,about to sleep
48397375,375,1,229,1,2,3,213,hibernating
48397591,721,3,7647,2,2,5,225,hibernating
48398481,988,1,250,1,1,3,113,hibernating
48399225,204,12,3720,4,3,5,345,loyal customers
48399465,319,1,239,1,3,3,313,about to sleep
48399633,806,2,2029,2,1,5,125,hibernating
48399897,124,44,10849,5,4,5,455,loyal customers
48400401,188,8,4128,4,3,5,345,loyal customers
48400833,482,3,1597,2,2,5,225,hibernating
48400953,93,8,2549,4,4,5,445,loyal customers
48400977,68,6,3249,3,5,5,535,potential loyalists
48401121,166,3,833,2,4,5,425,potential loyalists
48401313,620,1,99,1,2,2,212,hibernating
48401458,1008,1,130,1,1,3,113,hibernating
48401674,392,5,2114,3,2,5,235,at risk
48401866,313,2,1638,2,3,5,325,about to sleep
48402370,222,11,3418,4,3,5,345,loyal customers
48402466,258,8,2423,4,3,5,345,loyal customers
48402538,77,5,1395,3,5,5,535,potential loyalists
48402706,29,4,1982,3,5,5,535,potential loyalists
48402826,13,3,1927,2,5,5,525,potential loyalists
48403354,20,1,747,1,5,4,514,new customers
48403570,1064,1,780,1,1,4,114,hibernating
48403666,496,9,2701,4,2,5,245,at risk
48403930,435,2,168,2,2,3,223,hibernating
48404122,256,5,5957,3,3,5,335,need attention
48404170,588,3,6178,2,2,5,225,hibernating
48404339,655,7,7036,3,2,5,235,at risk
48404411,169,4,1396,3,4,5,435,potential loyalists
48404627,841,3,1568,2,1,5,125,hibernating
48404819,263,3,837,2,3,5,325,about to sleep
48405035,98,1,279,1,4,3,413,promising
48405131,111,1,349,1,4,4,414,promising
48405299,49,8,2700,4,5,5,545,champions
48406235,236,1,59,1,3,2,312,about to sleep
48406523,104,15,2234,4,4,5,445,loyal customers
48406835,113,15,4592,4,4,5,445,loyal customers
48407099,517,10,3899,4,2,5,245,at risk
48407219,343,7,3383,3,3,5,335,need attention
48407435,27,4,1116,3,5,5,535,potential loyalists
48407795,306,3,1183,2,3,5,325,about to sleep
48407867,54,14,718,4,5,4,544,champions
48408107,39,6,2236,3,5,5,535,potential loyalists
48408443,243,19,7031,5,3,5,355,loyal customers
48408539,20,12,4427,4,5,5,545,champions
48408779,76,6,4224,3,5,5,535,potential loyalists
48408851,10,41,15122,5,5,5,555,champions
48408875,463,2,2058,2,2,5,225,hibernating
48409043,134,7,2269,3,4,5,435,potential loyalists
48409139,797,2,70,2,1,2,122,hibernating
48409307,105,9,8284,4,4,5,445,loyal customers
48410099,963,2,458,2,1,4,124,hibernating
48410627,110,14,10875,4,4,5,445,loyal customers
48410747,859,1,279,1,1,3,113,hibernating
48410819,728,1,279,1,2,3,213,hibernating
48411083,89,12,1448,4,5,5,545,champions
48411107,342,8,7508,4,3,5,345,loyal customers
48411565,580,1,478,1,2,4,214,hibernating
48411661,693,2,260,2,2,3,223,hibernating
48411925,729,1,409,1,2,4,214,hibernating
48412093,817,1,1029,1,1,5,115,hibernating
48412621,26,7,5815,3,5,5,535,potential loyalists
48412741,208,5,1704,3,3,5,335,need attention
48412789,271,4,1182,3,3,5,335,need attention
48412885,599,1,1299,1,2,5,215,hibernating
48412909,19,1,319,1,5,4,514,new customers
48413389,210,4,1186,3,3,5,335,need attention
48413413,720,2,707,2,2,4,224,hibernating
48413677,718,1,768,1,2,4,214,hibernating
48413941,288,2,558,2,3,4,324,about to sleep
48414085,75,2,838,2,5,5,525,potential loyalists
48414277,896,1,349,1,1,4,114,hibernating
48414517,691,1,99,1,2,2,212,hibernating
48414541,62,1,99,1,5,2,512,new customers
48415669,1062,2,1250,2,1,5,125,hibernating
48416101,126,7,2163,3,4,5,435,potential loyalists
48416413,263,6,1806,3,3,5,335,need attention
48416557,432,1,279,1,2,3,213,hibernating
48416653,39,2,502,2,5,4,524,potential loyalists
48417133,615,1,99,1,2,2,212,hibernating
48417229,217,1,399,1,3,4,314,about to sleep
48417613,64,1,99,1,5,2,512,new customers
48417709,362,10,2452,4,3,5,345,loyal customers
48417901,820,1,659,1,1,4,114,hibernating
48417925,29,1,279,1,5,3,513,new customers
48417949,1006,1,1800,1,1,5,115,hibernating
48418573,364,2,938,2,3,5,325,about to sleep
48418645,41,3,837,2,5,5,525,potential loyalists
48418789,33,8,2739,4,5,5,545,champions
48418933,98,4,1455,3,4,5,435,potential loyalists
48418957,796,1,1372,1,1,5,115,hibernating
48419221,243,4,1116,3,3,5,335,need attention
48419245,270,5,2075,3,3,5,335,need attention
48419702,683,1,1029,1,2,5,215,hibernating
48420782,435,14,5713,4,2,5,245,at risk
48421406,60,3,2457,2,5,5,525,potential loyalists
48422126,96,1,259,1,4,3,413,promising
48422174,687,1,99,1,2,2,212,hibernating
48422582,20,14,4502,4,5,5,545,champions
48422798,340,3,857,2,3,5,325,about to sleep
48423134,414,2,169,2,2,3,223,hibernating
48424455,1042,1,275,1,1,3,113,hibernating
48424527,386,2,558,2,2,4,224,hibernating
48425031,98,13,4087,4,4,5,445,loyal customers
48425679,874,1,659,1,1,4,114,hibernating
48425823,552,3,877,2,2,5,225,hibernating
48427095,364,2,198,2,3,3,323,about to sleep
