ID_NORM;NOMBRE_NORM
9313_fb7e2f4f-1545-42f1-972e-94082e49c6dc;Obrero de la construcción/Obrera de la construcción
1324_a70315e3-ae41-44a9-9fe5-7fe668469ee0;Director de importación y exportación de muebles, alfombras y equipos de iluminación/Directora de importación y exportación de muebles, alfombras y equipos de iluminación
8219_183d60f2-277f-47c8-a8c6-f5c8eedba2b0;Montador de municiones/Montadora de municiones
2352_02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a;Profesor de alfabetización de adultos/Profesora de alfabetización de adultos
3411_929ef41d-afd0-4d5a-b85b-69eab68fa368;Asistente jurídico
2621_c2efadc4-6f47-4f34-997b-dd80aba609dd;Coordinador educativo de actividades artísticas y culturales en museos y otros centros culturales/Coordinadora educativa de actividades artísticas y culturales en museos y otros centros culturales
4323_0cd0082a-ca15-4dcd-b352-b7600c916d8e;Coordinador de operaciones marítimas/Coordinadora de operaciones marítimas
7542_2aae7736-f58b-4027-8de4-6884281c3b0b;Dinamitero/Dinamitera
3315_e91bc34c-0c4f-4ac9-8e2f-8f337d75f9ca;Técnico en seguros especializado en tramitación y gestión de reclamaciones/Técnica en seguros especializada en tramitación y gestión de reclamaciones
5249_009d29de-5872-43be-8d9b-abd27f8c99f1;Representante de servicio de alquiler de otras máquinas y equipos
5164_65a9366c-d4d3-484d-a577-c63d335987da;Instructor de perros guía/Instructora de perros guía
2621_e7417f4f-7072-4b07-a71f-71f6fc7f5e5b;Conservador de zoológico/Conservadora de zoológico
8154_f73e11e7-0eb8-4a46-b2e1-9e544c2f3652;Operador de máquinas para el acabado de productos textiles/Operadora de máquinas para el acabado de productos textiles
7515_3d7b36e2-bfb8-4b67-9585-6787c1dda13e;Catador de café/Catadora de café
4323_49e28648-4fa8-4b36-ac4d-781c108547bf;Despachador de transporte aéreo/Despachadora de transporte aéreo
2330_ff142063-f89d-446d-92ac-9a3a124210a0;Profesor de química en educación secundaria/Profesora de química en educación secundaria
2161_efa81635-9125-4276-8902-9deb12170ea7;Interiorista
3115_e58eadca-e512-4167-96f1-fff980f117e3;Especialista en ensayos y control de calidad de motores de buques y embarcaciones de recreo/Especialista en ensayos y control de calidad de motores de buques y embarcaciones de recreo
1412_d5eb6150-bbff-4a9c-9d0c-21eab4dbe2b6;Director de restaurante/Directora de restaurante
2511_bd9d395a-d587-45c6-8d72-ceef226df9e1;Consultor de integración de sistemas de TIC/Consultora de integración de sistemas de TIC
2411_59c22779-4d89-4bc9-ba8b-d64bea236723;Asesor fiscal/Asesora fiscal
8160_f53dbdb1-2f64-42f8-a6a4-0552c40e4f57;Operario de purificador de harina/Operaria de purificador de harina
3339_c85e39a4-2c40-413f-a171-45907ecdd599;Representante artístico y deportivo
2411_cd4f41a5-87a6-4b3c-8ee3-14e6f457c365;Supervisor de auditoría/Supervisora de auditoría
9312_47300afa-5496-484c-8f65-14247a98b2b8;Obrero de construcción civil/Obrera de construcción civil
7223_fd2dd3e9-498f-490f-8589-8c1eea05aa3f;Operador de prensa troqueladora/Operadora de prensa troqueladora
3355_ce2b8609-34c7-40d3-a4f7-581c76bd258a;Comisario de policía/Comisaria de policía
3252_983c2816-a339-4817-97f4-151a9ff3e64d;Responsable en documentación y administración sanitaria
2144_93b11f0f-69af-4ece-b9da-f29aab7d38d3;Ingeniero especializado en el diseño de equipos de contenedores/Ingeniera especializada en el diseño de equipos de contenedores
2120_ff656b3a-65a8-4b4f-b04e-9db12936519b;Demógrafo/Demógrafa
1324_5cc6d160-3864-43b0-b3eb-77d1208a51b4;Director de importación y exportación de metales y minerales metálicos/Directora de importación y exportación de metales y minerales metálicos
3115_42e9d1c5-76f1-41ef-996e-38d5ac711a31;Inspector ferroviario de vagones/Inspectora ferroviaria de vagones
7516_066a9d8f-3948-409c-a3cf-ed8ed37cfe22;Empleado de la sala de curado/Empleada de la sala de curado
3112_09e070ce-0afe-40bb-be90-530e5d42cdbd;Asesor energético para viviendas/Asesora energética para viviendas
3324_4b72d306-9781-434d-8522-1fcaf892cdce;Transitario en operaciones NVOCC/ transitaria en operaciones NVOCC
1324_bd7c070b-333f-4b9d-a70a-25f135ff931e;Director de distribución de muebles, alfombras y equipos de iluminación/Directora de distribución de muebles, alfombras y equipos de iluminación
2151_77abfaec-a250-4765-95fa-6091e8da1bba;Ingeniero electromecánico/Ingeniera electromecánica
7223_a51ab2e2-aaa9-4d7d-a747-bff2e276636a;Operador de horno de tratamiento térmico/Operadora de horno de tratamiento térmico
2341_03d79393-7b30-4159-945b-01963eddd302;Maestro de educación primaria/Maestra de educación primaria
8112_610bee9f-d7f0-4b18-918e-f2a4a91f8912;Operador de perforadora de rocas/Operadora de perforadora de rocas
7323_7f35043b-ebb5-40bf-9974-46a29915f6bf;Operador de encuadernadoras de cosido/Operadora de encuadernadoras de cosido
5414_ffa4dd5d-702b-4828-ad85-17ec50db6656;Guardia de furgón blindado
8142_ae3f1edd-d191-4a8d-8dfc-099dcdc6f1e8;Operador de prensa de discos de vinilo/Operadora de prensa de discos de vinilo
